SITEID,count,UNDERAGE1,UNDERAGE2,IL,TITLE,lng,lat
50010410000056,0,0,0,0,大渡****蹬网吧,106.43922,29.409068
50010410000057,0,0,0,0,大渡****林网吧,106.483033,29.485339
50010510000001,2277,0,4,0,江北****凡网吧,106.537525,29.57594
50010510000002,5178,58,4,1,江北****业网吧,106.562385,29.584263
50010510000003,0,0,0,0,江北****飞网吧,106.492697,29.584911
50010310000184,8306,0,60,1,渝中****国网吧,106.552102,29.564998
50010310000185,5977,0,35,1,渝中****恋网吧,106.523903,29.544944
50010310000186,7546,0,6,0,渝中****岸网吧,106.594154,29.569513
50010310000187,7476,0,10,0,渝中****浩网吧,106.549094,29.561201
50010310000188,5749,0,11,0,渝中****浪网吧,106.537551,29.543972
50010310000189,0,0,0,0,渝中****上网吧,106.558358,29.556987
50010310000190,0,0,0,0,渝中****网吧),106.577114,29.560816
50010310000192,0,0,0,0,渝中****点网吧,106.532397,29.548196
50010310000193,0,0,0,0,渝中****琦网吧,106.543731,29.554621
50010310000195,5195,0,25,1,渝中****间网吧,106.564583,29.569311
50010310000196,0,0,0,0,渝中****牛网吧,106.581336,29.556472
50010310000198,14281,0,33,1,（渝****网吧),106.576326,29.560343
50010310000199,0,0,0,0,渝中****村网吧,106.547949,29.558616
50010310000200,0,0,0,0,渝中****5网吧,106.522326,29.544037
50010310000201,0,0,0,0,渝中****冻网吧,106.590692,29.561684
50010310000202,12635,0,19,0,渝中****网吧）,106.558255,29.567705
50010310000206,0,0,0,0,渝中****团网吧,106.548895,29.561249
50010310000207,1248,0,0,0,渝中****网吧),106.552192,29.564769
50010310000213,9705,0,36,1,渝中****利网吧,106.56815,29.560679
50010310000214,4981,0,22,1,渝中****佳网吧,106.581658,29.558778
50010310000215,5786,0,27,1,渝中****琦网吧,106.57586,29.563207
50010310000217,3127,0,36,1,渝中****园网吧,106.537551,29.543972
50010310000218,0,0,0,0,渝中****点网吧,106.556141,29.565909
50010310000220,19472,0,64,1,重庆****江门店,106.578334,29.566924
50010510000139,9896,444,6,1,江北****静网吧,106.469631,29.570565
50010510000140,9601,866,33,1,江北****会所）,106.497763,29.57436
50010510000142,117,0,0,0,江北****风网城,106.490587,29.587875
50010510000143,5976,0,13,0,江北****彩网吧,106.490793,29.571837
50010510000145,17684,0,72,1,江北****会所）,106.713615,29.619318
50010310000235,13636,0,6,0,渝中****网吧）,106.581889,29.560105
50010310000237,13289,0,3,0,渝中****盟网吧,106.584998,29.564185
50010310000239,6618,0,4,0,渝中****灿网吧,106.560592,29.56607
50010310000241,0,0,0,0,渝中****田网吧,106.553728,29.564986
50010310000245,0,0,0,0,渝中****才网吧,106.569831,29.5626
50010310000246,11980,0,121,1,渝中****露网吧,106.523254,29.54739
50010310000247,12455,0,111,1,渝中****嘉网吧,106.512571,29.545401
50010310000248,0,0,0,0,渝中****水网吧,106.524042,29.544434
50010310000249,6264,0,12,0,渝中****华网吧,106.568579,29.564653
50010310000272,8581,0,9,0,渝中****华网吧,106.589588,29.569162
50010310000277,0,0,0,0,渝中****俱乐部,106.523903,29.544944
50010410000001,2994,0,8,0,大渡****腾网吧,106.488292,29.478548
50010410000002,0,0,0,0,大渡****娱会所,106.495194,29.49522
50010410000003,935,0,1,0,大渡****纪网吧,106.48915,29.48141
50010410000004,0,0,0,0,大渡****里网吧,106.443454,29.4925
50010410000005,0,0,0,0,大渡****怡网吧,106.490725,29.48178
50010410000006,0,0,0,0,大渡****点网吧,106.503856,29.497578
50010410000007,0,0,0,0,大渡****东网吧,106.488911,29.443633
50010410000008,0,0,0,0,大渡****咣网吧,106.489737,29.495101
50010410000009,0,0,0,0,大渡****约网吧,106.491748,29.483657
50010410000010,3871,0,27,1,大渡****向网吧,106.479117,29.461448
50010410000011,7332,0,33,1,大渡****乐网吧,106.496536,29.436599
50010410000012,0,0,0,0,大渡****安网吧,106.513968,29.424628
50010410000013,0,0,0,0,大渡****雨网吧,106.492049,29.483794
50010410000014,0,0,0,0,大渡****峰网吧,106.500755,29.49585
50010410000015,8210,0,55,1,大渡****尔网吧,106.48612,29.477631
50010410000016,0,0,0,0,大渡****城网吧,106.493608,29.436307
50010410000017,3454,0,21,1,大渡****凡网吧,106.490678,29.495674
50010410000018,0,0,0,0,大渡****会所),106.488373,29.491069
50010410000019,7394,0,21,1,大渡****捷网吧,106.508917,29.436948
50010410000020,0,0,0,0,大渡****闲网吧,106.494373,29.487068
50010410000021,0,0,0,0,大渡****蜘网吧,106.470078,29.465988
50010410000022,0,0,0,0,大渡****正网吧,106.513968,29.424628
50010410000023,0,0,0,0,大渡****深网吧,106.48915,29.48141
50010410000024,0,0,0,0,大渡****会所),106.495216,29.488925
50010410000025,2739,0,11,0,大渡****枫网吧,106.49012,29.490009
50010410000026,0,0,0,0,大渡****仁网吧,106.48915,29.48141
50010410000027,0,0,0,0,大渡****来网吧,106.492044,29.476266
50010410000028,0,0,0,0,大渡****德网吧,106.473764,29.44613
50010410000029,0,0,0,0,大渡****纪网吧,106.491814,29.495342
50010410000030,1787,0,0,0,大渡****利网吧,106.477689,29.416312
50010410000031,4371,0,5,0,大渡****琴网吧,106.481306,29.484926
50010410000032,5564,0,14,0,大渡****鑫网吧,106.487714,29.483129
50010410000034,0,0,0,0,大渡****牛网吧,106.473367,29.423853
50010410000035,8305,0,31,1,大渡****我网吧,106.485063,29.460774
50010410000036,0,0,0,0,大渡****莹波）,106.487517,29.477713
50010410000037,0,0,0,0,大渡****联网吧,106.470078,29.465988
50010410000038,2825,0,17,0,大渡****聚网吧,106.484537,29.46504
50010410000039,0,0,0,0,大渡****堰网吧,106.501356,29.494697
50010310000001,0,0,0,0,渝中****渝网吧,106.576045,29.563266
50010310000002,12597,0,79,1,渝中****端网吧,106.555975,29.56042
50010310000003,0,0,0,0,渝中****梦网吧,106.52269,29.536991
50010310000004,7874,0,20,0,渝中****限公司,106.555644,29.560195
50010310000005,0,0,0,0,渝中****半网吧,106.580044,29.566614
50010310000006,0,0,0,0,渝中****西网吧,106.56494,29.563174
50010310000007,13163,0,15,0,渝中****比网吧,106.580082,29.560647
50010310000008,0,0,0,0,渝中****村网吧,106.517436,29.537934
50010310000009,5550,0,11,0,渝中****松网吧,106.578668,29.555052
50010310000010,0,0,0,0,渝中****鸟网吧,106.580955,29.558657
50010310000011,8088,0,35,1,渝中****艺网吧,106.557978,29.556022
50010310000012,6778,0,8,0,渝中****梦网吧,106.56736,29.561854
50010310000013,11771,0,9,0,渝中****网吧),106.586057,29.562266
50010310000014,0,0,0,0,渝中****妹网吧,106.553248,29.566191
50010310000015,0,0,0,0,渝中****玛网吧,106.569361,29.562711
50010310000017,0,0,0,0,渝中****灏网吧,106.559466,29.557204
50010310000018,0,0,0,0,渝中****燕网吧,106.591926,29.56597
50010310000020,4696,0,11,0,渝中****星网吧,106.550885,29.559164
50010310000021,10901,0,24,1,渝中****雪网吧,106.567821,29.561637
50010310000022,0,0,0,0,渝中****吉网吧,106.546967,29.555236
50010310000023,0,0,0,0,渝中****点网吧,106.554667,29.555656
50010310000024,5497,0,0,0,渝中****网吧),106.556196,29.555553
50010310000025,21575,0,201,1,渝中****寰宇),106.584219,29.56337
50010310000027,0,0,0,0,渝中****心网吧,106.560434,29.560879
50010510000113,4171,55,17,1,江北****克网吧,106.582973,29.616122
50010510000114,6343,91,24,1,江北****会所）,106.538438,29.589462
50010510000115,1435,123,3,1,江北****会所）,106.541082,29.582737
50010510000116,1617,0,2,0,江北****强网吧,106.534461,29.58742
50010510000117,9657,316,34,1,江北****家园),106.530087,29.58768
50010510000118,11865,0,89,1,江北****鑫网吧,106.548262,29.582436
50010510000119,11637,0,33,1,江北****会所）,106.534952,29.581435
50010510000120,8324,10,8,1,江北****宁网吧,106.54704,29.589327
50010510000121,5592,46,10,1,江北****渔网吧,106.551165,29.579435
50010510000123,9173,0,23,1,江北****会所）,106.534816,29.562836
50010510000125,4124,936,11,1,江北****复网吧,106.799102,29.650848
50010510000126,10527,0,24,1,江北****豪网吧,106.535627,29.583296
50010510000127,0,0,0,0,江北****会所）,106.767665,29.628813
50010510000128,5221,0,13,0,江北****创网吧,106.563819,29.586063
50010510000129,0,0,0,0,江北****乐部）,106.54584,29.584001
50010510000130,5417,81,26,1,江北****会所）,106.497119,29.574042
50010510000131,10748,1548,7,1,江北****会所）,106.561323,29.58642
50010510000132,7177,257,46,1,江北****会所）,106.53999,29.57781
50010510000133,9067,23,12,1,江北****剑网吧,106.531511,29.562972
50010510000134,12915,1389,29,1,江北****会所）,106.542366,29.583468
50010510000136,17783,530,56,1,重庆****会所）,106.538304,29.57806
50010510000137,18959,285,39,1,江北****运网吧,106.65634,29.598658
50010510000138,1432,3,0,1,江北****验网吧,106.540306,29.570947
50010310000028,459,0,0,0,渝中****路网吧,106.551007,29.561806
50010310000029,3699,0,90,1,渝中****洁网吧,106.553201,29.558241
50010810000082,9482,0,34,1,南岸****奇网吧,106.582969,29.539318
50010810000083,9613,0,19,0,南岸****带网吧,106.56944,29.534468
50010810000084,9608,0,6,0,南岸****费点）,106.610031,29.541007
50010810000085,6722,0,21,1,南岸****捷网吧,106.557012,29.526182
50010810000086,8447,0,55,1,南岸****河网吧,106.565275,29.530821
50010810000087,8629,0,14,0,南岸****虫网吧,106.564115,29.529238
50010810000088,494,0,1,0,南岸****秀网吧,106.575951,29.525501
50010810000089,6035,0,14,0,南岸****飞网吧,106.601592,29.557362
50010810000090,10900,0,20,0,南岸****奇网吧,106.575558,29.533055
50010810000091,5651,0,7,0,南岸****网吧 ,106.581629,29.527554
50010810000092,0,0,0,0,南岸****舰网吧,106.56423,29.53477
50010810000093,0,0,0,0,南岸****灵网吧,106.559319,29.528188
50010810000095,0,0,0,0,南岸****克网吧,106.556912,29.526281
50010810000096,2005,0,2,0,南岸****雅网吧,106.567316,29.529747
50010810000099,13855,5,36,1,南岸****顺网吧,106.667178,29.541515
50010810000100,6996,0,23,1,南岸****达网吧,106.572003,29.534618
50010810000101,5058,0,16,0,南岸****网网吧,106.564497,29.532705
50010810000102,3796,0,9,0,南岸****盈网吧,106.58139,29.519783
50010810000103,0,0,0,0,南岸****仕网吧,106.568982,29.527803
50010810000104,5120,0,7,0,南岸****莎网吧,106.667178,29.541515
50010810000105,5474,0,34,1,南岸****恋网吧,106.608498,29.510449
50010810000106,1435,0,0,0,南岸****贝网吧,106.686982,29.537473
50010810000107,3034,0,1,0,南岸****行网吧,106.608167,29.582229
50010810000108,4572,0,0,0,南岸****花网吧,106.551031,29.518669
50010810000109,4531,0,13,0,南岸****太网吧,106.566235,29.541463
50010810000110,7283,0,11,0,南岸****斯网吧,106.578302,29.539864
50010810000111,2671,0,4,0,南岸****新网吧,106.578766,29.532937
50010810000112,0,0,0,0,南岸****益网吧,106.580324,29.495927
50010810000113,2693,0,9,0,南岸****人网吧,106.607972,29.50589
50010810000114,9709,0,11,0,南岸****尔网吧,106.667178,29.541515
50010810000117,2476,0,13,0,南岸****网吧）,106.607054,29.577515
50010810000118,20699,0,14,0,南岸****概念),106.571261,29.533401
50010810000119,9695,0,25,1,南岸****影网吧,106.581365,29.517995
50010810000120,5965,0,8,0,南岸****悦网吧,106.582171,29.538481
50010810000013,0,0,0,0,南岸****英网吧,106.576807,29.488708
50010810000014,3250,0,0,0,南岸****洋网吧,106.666254,29.512704
50010810000015,4707,0,15,0,南岸****佳网吧,106.598397,29.587488
50010810000016,7940,0,30,1,南岸****康网吧,106.577922,29.531305
50010810000017,4289,0,4,0,南岸****通网吧,106.671494,29.512264
50010810000018,0,0,0,0,南岸****方网吧,106.601004,29.554857
50010810000020,11886,0,32,1,南岸****日网吧,106.572086,29.49876
50010810000022,2587,0,2,0,南岸****店网吧,106.569904,29.530545
50010810000023,0,0,0,0,南岸****佳网吧,106.594659,29.549126
50010810000025,2225,0,6,0,南岸****枫网吧,106.581438,29.519784
50010810000026,4015,0,24,1,南岸****车网吧,106.606986,29.575257
50010810000027,4405,0,63,1,南岸****友网吧,106.574975,29.530919
50010810000028,5411,0,10,0,南岸****网苑),106.600769,29.558045
50010810000030,3886,0,7,0,南岸****旋网吧,106.612021,29.545993
50010810000031,0,0,0,0,南岸****网吧）,106.577394,29.532314
50010810000032,639,0,7,0,南岸****赢网吧,106.56944,29.534468
50010810000033,3440,0,4,0,南岸****潮网吧,106.672904,29.510531
50010810000034,12664,0,22,1,南岸****园网吧,106.648638,29.492595
50010810000035,3475,0,2,0,南岸****星网吧,106.584932,29.518629
50010810000036,4637,0,71,1,南岸****豹网吧,106.567491,29.53266
50010810000037,0,0,0,0,南岸****池网吧,106.596697,29.589586
50010810000038,0,0,0,0,南岸****龙网吧,106.58436,29.518867
50010810000039,10520,0,27,1,南岸****龙网吧,106.600789,29.553865
50010910002007,0,0,0,0,一往****深网吧,106.42835,29.819517
50010910002009,0,0,0,0,文静****经营）,106.448526,29.831696
50011210000001,7803,0,49,1,渝北****源网吧,106.63545,29.722203
50011210000002,7533,0,28,1,渝北****城网吧,106.645553,29.747432
50011210000003,4201,0,4,0,渝北****号网吧,106.517989,29.588149
50011210000004,2547,0,14,0,渝北****度网吧,106.641799,29.743672
50011210000006,2425,0,1,0,渝北****缘网吧,106.632888,29.746623
50011210000007,0,0,0,0,渝北****人网吧,106.503481,29.60527
50011210000008,4707,0,3,0,渝北****红网吧,106.50923,29.588973
50011210000009,8901,0,43,1,渝北****通网吧,106.526753,29.597748
50011210000010,10041,0,1,0,渝北****星网吧,106.643603,29.745505
50011210000011,6446,0,15,0,渝北****主网吧,106.536097,29.593955
50011210000012,0,0,0,0,渝北****罗网吧,106.510691,29.581829
50011210000013,6087,0,48,1,渝北****天网吧,106.641799,29.743672
50011210000014,4403,0,38,1,渝北****尚网吧,106.630392,29.714392
50011210000015,8867,0,61,1,渝北****希网吧,106.613003,29.682224
50011210000016,6997,0,32,1,渝北****喜网吧,106.527082,29.596016
50011210000017,1703,0,4,0,渝北****贵网吧,106.628956,29.710361
50011210000018,12882,0,57,1,渝北****斯网吧,106.644717,29.747042
50011210000019,0,0,0,0,渝北****湖网吧,106.633061,29.708347
50011210000020,11567,0,38,1,渝北****友网吧,106.528607,29.593502
50011210000021,8700,0,36,1,渝北****日网吧,106.523999,29.591313
50011210000022,0,0,0,0,渝北****号网吧,106.516328,29.584731
50011210000023,3183,0,45,1,渝北****门网吧,106.612274,29.70805
50011210000024,0,0,0,0,渝北****谊网吧,106.604932,29.687948
50011210000025,6029,0,108,1,渝北****代网吧,106.628726,29.708371
50011210000026,5087,0,48,1,渝北****乐网吧,106.627222,29.706707
50011210000027,0,0,0,0,渝北****蓝网吧,106.63978,29.740859
50011210000028,19036,0,157,1,渝北****柒网吧,106.526996,29.592365
50011210000029,7498,0,23,1,渝北****光网吧,106.508869,29.59518
50011210000030,3173,0,13,0,渝北****山网吧,106.616994,29.699981
50011210000031,6263,0,0,0,渝北****后网吧,106.553408,29.588847
50011210000032,0,0,0,0,渝北****晶网吧,106.522728,29.604798
50011210000034,6835,0,23,1,渝北****鑫网吧,106.621659,29.702972
50011210000036,4945,0,38,1,渝北****合网吧,106.613003,29.682224
50011210000037,7351,0,13,0,渝北****壁网吧,106.649784,29.745895
50011210000038,9283,0,6,0,渝北****飞网吧,106.522728,29.604798
50010510000146,8091,55,8,1,江北****会所）,106.490472,29.589494
50010510000147,0,0,0,0,江北****会所）,106.667642,29.613772
50010510000148,0,0,0,0,江北****寻网吧,106.539881,29.584747
50010510000149,9610,357,22,1,江北****会所）,106.540535,29.582668
50010510000151,4365,4,16,1,江北****会所）,106.532243,29.577414
50010510000152,12466,436,8,1,江北****会所）,106.546838,29.582496
50010510000153,0,0,0,0,江北****络会所,106.54877,29.583003
50010510000154,9281,0,37,1,江北****博网吧,106.538946,29.588153
50010310000030,11979,0,132,1,渝中****人网吧,106.522585,29.543271
50010310000031,0,0,0,0,渝中****费点),106.546967,29.555236
50010310000034,6532,0,7,0,渝中****你网吧,106.586274,29.566597
50010310000035,0,0,0,0,渝中****鸟网吧,106.553882,29.565043
50010310000036,0,0,0,0,渝中****年网吧,106.573506,29.561093
50010310000037,0,0,0,0,渝中****份网吧,106.573977,29.55892
50010310000038,18979,0,47,1,重庆****园路店,106.587465,29.56819
50010310000041,8481,0,26,1,渝中****明网吧,106.589547,29.560769
50010310000043,6070,0,0,0,渝中****轩网吧,106.574376,29.565057
50010310000045,9261,0,12,0,渝中****靓网吧,106.57458,29.564208
50010310000046,8352,0,73,1,渝中****读网吧,106.576473,29.558481
50010310000047,0,0,0,0,渝中****其网吧,106.567586,29.560799
50010310000050,0,0,0,0,渝中****平网吧,106.550667,29.564601
50010310000054,5937,0,12,0,渝中****结网吧,106.53383,29.54723
50010310000055,7037,0,17,0,渝中****心网吧,106.512399,29.541719
50010310000058,0,0,0,0,渝中****华网吧,106.594154,29.569513
50010310000060,0,0,0,0,渝中****名网吧,106.570323,29.562039
50010310000062,0,0,0,0,渝中****忘我),106.56214,29.567256
50010310000063,0,0,0,0,渝中****玺网吧,106.560213,29.566327
50010310000064,0,0,0,0,渝中****象网吧,106.522165,29.541605
50010310000065,0,0,0,0,渝中****手网吧,106.564625,29.56154
50010310000066,0,0,0,0,渝中****客网吧,106.584998,29.564185
50010310000067,0,0,0,0,渝中****华网吧,106.584424,29.566123
50010310000068,1392,0,2,0,渝中****下网吧,106.579182,29.561044
50010310000071,10222,0,201,1,渝中****谋网吧,106.523903,29.544944
50010310000072,15659,0,16,0,渝中****鸟网吧,106.578215,29.563706
50010310000074,5535,0,4,0,渝中****限网吧,106.520772,29.546809
50010310000076,0,0,0,0,渝中****祥网吧,106.560592,29.56607
50010310000077,0,0,0,0,渝中****网吧),106.580082,29.560647
50010310000079,0,0,0,0,渝中****叶网吧,106.546967,29.555236
50010310000084,0,0,0,0,渝中****星网吧,106.573766,29.563341
50010310000087,0,0,0,0,渝中****缘网吧,106.585529,29.564618
50010310000089,0,0,0,0,渝中****家网吧,106.532507,29.548998
50010310000091,0,0,0,0,渝中****华网吧,106.546967,29.555236
50010310000093,0,0,0,0,渝中****晴网吧,106.591071,29.568254
50010310000096,0,0,0,0,渝中****小网吧,106.529189,29.544104
50010310000098,0,0,0,0,渝中****天网吧,106.555116,29.55486
50010310000099,5772,0,24,1,渝中****飞网吧,106.59017,29.561039
50010310000100,0,0,0,0,渝中****心网吧,106.579801,29.555087
50010310000102,5841,0,35,1,渝中****络会所,106.556191,29.565459
50010310000104,3164,0,29,1,（渝****简称),106.512639,29.54229
50010310000105,0,0,0,0,渝中****心网吧,106.519505,29.544775
50010310000107,7067,0,39,1,渝中****语网吧,106.562708,29.569698
50010310000109,13615,0,38,1,渝中****红网吧,106.554696,29.565001
50010310000110,0,0,0,0,重庆****网吧）,106.585134,29.567096
50010310000112,8782,0,14,0,渝中****瑰网吧,106.589848,29.561204
50010310000114,16476,0,57,1,(渝****派网吧,106.518051,29.547421
50010310000115,0,0,0,0,渝中****宇网吧,106.582469,29.560384
50010310000116,0,0,0,0,渝中****秋网吧,106.525013,29.547068
50010310000119,0,0,0,0,渝中****禹网吧,106.585955,29.560937
50010310000120,0,0,0,0,渝中****兴网吧,106.583192,29.561
50010310000121,14466,0,16,0,渝中****都网吧,106.585399,29.56703
50010310000123,0,0,0,0,渝中****格网吧,106.585591,29.558218
50010310000125,6787,0,26,1,渝中****健网吧,106.522575,29.543991
50010310000126,8469,0,12,0,渝中****网苑),106.502747,29.54067
50010310000128,0,0,0,0,渝中****网吧),106.567127,29.568574
50010310000129,6009,0,8,0,渝中****辉网吧,106.519416,29.544994
50010310000132,0,0,0,0,新华****网吧),106.578215,29.563706
50010310000133,0,0,0,0,渝中****先网吧,106.556789,29.554662
50010310000134,0,0,0,0,渝中****迪网吧,106.567203,29.561509
50010910000104,6473,0,29,1,重庆****星网吧,106.47736,29.757289
50010910000105,4428,0,4,0,重庆****曾网吧,106.455585,29.689098
50010910000106,1724,0,11,0,重庆****卡网吧,106.430692,29.838307
50010910000107,5539,0,64,1,重庆****发网吧,106.468716,29.73527
50010910000108,0,0,0,0,北碚****平网吧,106.447223,29.8284
